leadtime,shortage,setup,lostsales,CV,horizon,ADI,policy,mu_dist_bounds,avg_cost,MC_std,train_time_s,forecast_id,agent_id
2,25.0,320,false,0.2,8,false,sSPolicy,"(0.0, 20.0)",-9095.194071038282,199.7675133854261,2951.770986822,8,15
2,75.0,320,true,0.2,8,false,sSPolicy,"(0.0, 20.0)",-6629.258079641274,116.95361144853456,2984.066061593,1,31
2,75.0,320,true,0.2,8,false,sSPolicy,"(0.0, 20.0)",-8838.293742398035,246.95323632430484,2984.066061593,2,31
2,75.0,320,true,0.2,8,false,sSPolicy,"(0.0, 20.0)",-11531.66608528425,454.46590427227505,2984.066061593,3,31
2,75.0,320,true,0.2,8,false,sSPolicy,"(0.0, 20.0)",-8846.813490090022,269.718107840356,2984.066061593,4,31
2,75.0,320,true,0.2,8,false,sSPolicy,"(0.0, 20.0)",-8866.920284381478,299.17501158739753,2984.066061593,5,31
2,75.0,320,true,0.2,8,false,sSPolicy,"(0.0, 20.0)",-8879.257615559802,314.6944707258075,2984.066061593,6,31
2,75.0,320,true,0.2,8,false,sSPolicy,"(0.0, 20.0)",-8318.273562874914,202.94081519530826,2984.066061593,7,31
2,75.0,320,true,0.2,8,false,sSPolicy,"(0.0, 20.0)",-9871.38522621143,403.99667017853534,2984.066061593,8,31
2,50.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-6538.442224840425,140.6896893714651,3358.599406048,1,7
2,50.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8702.407314645523,242.87276114969012,3358.599406048,2,7
2,50.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-11213.090402194219,377.73533412077467,3358.599406048,3,7
2,50.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8716.89129118441,255.6993394566619,3358.599406048,4,7
2,50.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8684.059215716881,277.7133933699931,3358.599406048,5,7
2,50.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8654.67786428493,292.8032920398107,3358.599406048,6,7
