lostsales,first_var,var_discount,avg_cost,MC_std,train_time_s,forecast_id,agent_id
false,0.1,0.9,-9231.39171085173,1334.739673417468,1492.146056069,4,14
false,0.1,0.9,-9276.944077628868,1555.6590993688549,1492.146056069,5,14
false,0.1,0.9,-9189.453580847407,1344.351029106095,1492.146056069,6,14
false,0.1,0.9,-8549.82044943235,1178.9905458995963,1492.146056069,7,14
false,0.1,0.9,-9953.981391465606,1517.6345573920473,1492.146056069,8,14
true,0.03,0.99,-6370.107648119936,474.0001805290993,1561.595981399,1,29
true,0.03,0.99,-9027.064695572502,832.649176577689,1561.595981399,2,29
true,0.03,0.99,-12053.99942966204,1229.5775265464188,1561.595981399,3,29
true,0.03,0.99,-9014.751730673755,918.0761384264922,1561.595981399,4,29
true,0.03,0.99,-9043.617935996303,891.2158867712827,1561.595981399,5,29
true,0.03,0.99,-9074.020048895103,894.8181355542949,1561.595981399,6,29
true,0.03,0.99,-8347.176866456517,797.5074470831887,1561.595981399,7,29
true,0.03,0.99,-10084.762065545177,920.0381223303668,1561.595981399,8,29
true,0.05,0.9,-6647.418418405962,416.3148890379398,1493.574215717,1,15
true,0.05,0.9,-9200.217262731032,778.2838506444772,1493.574215717,2,15
true,0.05,0.9,-12292.618898604756,1202.6103046655103,1493.574215717,3,15
true,0.05,0.9,-9278.677547287596,793.8942786056004,1493.574215717,4,15
true,0.05,0.9,-9290.12323403459,958.1974136366962,1493.574215717,5,15
true,0.05,0.9,-9263.629985906511,884.3626556424055,1493.574215717,6,15
true,0.05,0.9,-8625.929249470048,736.3071229911108,1493.574215717,7,15
true,0.05,0.9,-10353.244058822516,955.9136232959644,1493.574215717,8,15
false,0.03,0.99,-6275.33800746766,427.45988229361996,1526.340974901,1,30
false,0.03,0.99,-8540.800591391304,659.6024883334898,1526.340974901,2,30
false,0.03,0.99,-10918.68242994722,880.7419880241764,1526.340974901,3,30
false,0.03,0.99,-8511.49919416374,747.6087465292607,1526.340974901,4,30
false,0.03,0.99,-8543.865238783334,783.6931125443687,1526.340974901,5,30
false,0.03,0.99,-8499.640790364198,671.5240238154289,1526.340974901,6,30
false,0.03,0.99,-7998.874463949332,690.1818592024119,1526.340974901,7,30
false,0.03,0.99,-9113.226015268503,672.422738957612,1526.340974901,8,30
true,0.1,0.7,-6788.813243849337,437.95190865305426,1491.927865575,1,31
true,0.1,0.7,-9621.009202121728,853.2012040985362,1491.927865575,2,31
true,0.1,0.7,-12866.104219665913,1290.6210123407639,1491.927865575,3,31
true,0.1,0.7,-9542.97086734925,856.5918796800734,1491.927865575,4,31
true,0.1,0.7,-9662.714849366312,1051.902611875321,1491.927865575,5,31
true,0.1,0.7,-9634.331784941338,949.0280450560477,1491.927865575,6,31
true,0.1,0.7,-8883.756856475624,725.1174721488486,1491.927865575,7,31
true,0.1,0.7,-10680.904405157773,948.4328920586431,1491.927865575,8,31
false,0.05,0.9,-6413.416452405167,373.61103795431904,1561.67346517,1,46
false,0.05,0.9,-8663.707496992794,491.62026428763176,1561.67346517,2,46
false,0.05,0.9,-11117.001765914794,841.6180293579254,1561.67346517,3,46
false,0.05,0.9,-8696.808926393534,659.9676079171638,1561.67346517,4,46
false,0.05,0.9,-8678.162575676059,715.323474803211,1561.67346517,5,46
false,0.05,0.9,-8625.491826165702,608.9942251676914,1561.67346517,6,46
false,0.05,0.9,-8131.1219037796145,513.4185214153006,1561.67346517,7,46
false,0.05,0.9,-9320.805683484492,624.4618145008154,1561.67346517,8,46
false,0.1,0.7,-6449.982742772787,373.0767931800594,1502.179038038,1,32
false,0.1,0.7,-8941.45836322656,607.5394763541415,1502.179038038,2,32
false,0.1,0.7,-11519.819130882472,794.9205455493158,1502.179038038,3,32
false,0.1,0.7,-8971.2540549199,658.1610059627453,1502.179038038,4,32
false,0.1,0.7,-8937.748160097197,621.2606192984241,1502.179038038,5,32
false,0.1,0.7,-8862.385688022292,646.6466014440983,1502.179038038,6,32
